label,x,y
1,32.92913861,103.3338033
2,27.74114747,99.45378207
3,22.65362456,91.83538559
4,27.35080511,84.46268992
5,19.68181045,77.97260958
6,23.7633133,70.10134586
7,15.57454558,58.01606545
8,23.43867483,56.89892184
9,28.53316166,67.15226405
10,35.73320156,58.77641251
11,39.8826504,72.62955836
12,43.11257967,83.66551861
13,45.49959003,95.1743297
14,47.71276217,106.7942636
15,49.31799896,116.0219582
16,42.98530511,119.3038772
17,34.04689331,120.9466435
