Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-03 12:44:25,27.02 ,93.01 ,16.9,26,569,800,16,13,9,72.3
2025-01-03 12:46:12,28.06 ,87.27 ,16.9,26,746,804,8,7,6,72.6
2025-01-03 12:48:05,23.71 ,81.43 ,16.9,26,525,805,7,7,6,72.4
2025-01-03 12:49:53,25.68 ,75.42 ,16.9,26,581,814,11,11,7,72.1
2025-01-03 12:51:52,22.04 ,67.13 ,16.9,26,401,819,17,12,10,72.3
2025-01-03 12:53:48,17.69 ,61.29 ,16.8,26,496,819,10,6,5,72.9
2025-01-03 12:56:53,23.93 ,60.98 ,16.9,26,490,818,13,12,9,72.8
2025-01-03 13:04:10,37.62 ,82.79 ,16.8,26,240,806,20,15,9,73.8
2025-01-03 13:06:08,38.79 ,88.75 ,16.8,26,270,804,18,16,11,74.8
2025-01-03 13:10:25,42.35 ,99.27 ,16.8,26,303,809,12,10,7,75.1
2025-01-03 13:13:28,36.55 ,119.92 ,16.9,26,98,810,20,16,14,74.2
2025-01-03 13:15:13,36.63 ,114.56 ,17,26,127,804,31,20,13,76.2
