Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-05 17:27:00,24.67 ,89.64 ,16.5,23,74,824,7,7,6,73.2
2025-01-05 17:29:11,32.86 ,88.65 ,16.5,23,92,830,9,7,6,73.2
2025-01-05 17:32:01,25.46 ,77.66 ,16.3,23,80,832,8,8,7,71.8
2025-01-05 17:33:53,22.96 ,71.12 ,16.1,23,100,826,4,4,4,72.7
2025-01-05 17:35:46,22.82 ,63.61 ,16,23,490,820,6,4,4,74.5
2025-01-05 17:43:08,35.96 ,74.22 ,15.5,25,76,800,6,6,5,74.5
2025-01-05 17:46:28,39.60 ,85.23 ,15.6,25,99,806,10,8,8,74.8
2025-01-05 17:50:42,42.70 ,100.22 ,15.6,25,126,796,17,13,10,75
2025-01-05 17:53:00,46.32 ,112.74 ,15.7,25,134,798,9,8,6,75.4
