Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-03 10:51:19,27.01 ,93.01 ,16.9,26,570,824,28,25,17,75.1
2025-01-03 10:53:06,28.06 ,87.29 ,16.8,26,746,822,22,20,12,73.5
2025-01-03 10:54:59,23.72 ,81.45 ,16.8,26,525,819,23,18,16,72.6
2025-01-03 10:56:46,25.69 ,75.43 ,16.8,26,580,821,21,17,13,71.2
2025-01-03 10:58:45,22.04 ,67.12 ,16.7,26,395,827,12,12,10,70.8
2025-01-03 11:00:41,17.70 ,61.28 ,16.7,26,492,825,10,10,9,71.2
2025-01-03 11:03:45,23.97 ,60.97 ,16.7,26,493,826,15,13,9,73.4
2025-01-03 11:11:17,37.61 ,82.77 ,16.5,26,269,816,21,18,14,73.4
2025-01-03 11:13:14,38.81 ,88.74 ,16.5,26,332,811,24,18,12,74.8
2025-01-03 11:17:33,42.36 ,99.28 ,16.5,26,374,796,18,15,12,75.1
2025-01-03 11:20:37,36.56 ,119.92 ,16.5,26,100,799,15,13,10,74.6
2025-01-03 11:22:24,36.64 ,114.56 ,16.6,26,148,800,26,20,13,75.4
