Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-04 13:11:38,28.88 ,92.27 ,17.1,26,695,879,49,39,27,73.1
2025-01-04 13:13:39,26.29 ,82.59 ,17.1,26,145,880,35,30,20,71.5
2025-01-04 13:15:44,23.36 ,72.06 ,17.1,26,102,888,38,30,22,71.1
2025-01-04 13:17:54,18.00 ,62.20 ,17,26,590,891,33,28,21,72.9
2025-01-04 13:21:06,24.67 ,62.86 ,17,26,723,881,45,35,24,73.8
2025-01-04 13:24:11,34.13 ,60.79 ,16.8,25,265,877,42,33,22,72.8
2025-01-04 13:28:30,34.90 ,71.43 ,16.5,26,204,859,40,33,22,73
2025-01-04 13:35:00,46.31 ,112.77 ,16.5,26,306,845,51,39,28,73.9
2025-01-04 13:37:09,36.64 ,114.55 ,16.5,26,165,845,46,33,23,76.3
