Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-03 17:01:23,27.01 ,93.02 ,17.3,25,554,823,14,13,9,73.6
2025-01-03 17:03:10,28.06 ,87.28 ,17.2,25,711,826,16,12,10,72.3
2025-01-03 17:05:12,23.70 ,81.43 ,17.2,25,513,831,17,14,11,73.8
2025-01-03 17:13:51,25.66 ,75.42 ,17.1,25,565,833,13,13,11,72.8
2025-01-03 17:15:51,22.04 ,67.12 ,17,25,364,822,9,9,8,72.3
2025-01-03 17:17:47,17.68 ,61.29 ,17,25,486,816,11,9,7,75
2025-01-03 17:20:54,23.95 ,60.97 ,16.9,25,465,816,18,15,9,72.3
2025-01-03 17:28:27,37.65 ,82.82 ,16.8,26,100,803,19,17,13,74.1
2025-01-03 17:31:45,38.83 ,88.77 ,16.7,26,112,803,17,12,9,74.3
2025-01-03 17:33:44,40.56 ,94.55 ,16.8,26,113,806,13,13,10,75.3
2025-01-03 17:35:39,42.66 ,100.17 ,16.8,26,124,804,12,11,9,75.9
2025-01-03 17:39:02,45.96 ,111.84 ,16.7,26,109,804,18,18,15,74.7
