Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-05 13:23:44,27.04 ,93.00 ,17.5,26,537,885,45,36,24,74.4
2025-01-05 13:25:31,28.05 ,87.27 ,17.5,26,720,892,35,31,21,73.1
2025-01-05 13:27:25,23.71 ,81.43 ,17.4,26,508,891,41,34,23,72.4
2025-01-05 13:29:14,25.68 ,75.45 ,17.3,26,570,894,39,32,21,73.3
2025-01-05 13:31:13,22.03 ,67.11 ,17.3,26,379,895,30,29,20,74.1
2025-01-05 13:33:09,17.68 ,61.28 ,17.2,26,496,895,38,32,21,73.5
2025-01-05 13:36:12,23.91 ,60.97 ,17.2,26,489,890,25,24,18,73.9
2025-01-05 13:46:21,42.72 ,100.23 ,17,27,299,851,36,29,20,75.9
2025-01-05 13:57:37,45.84 ,108.69 ,16.9,27,290,843,47,37,25,74.9
2025-01-05 13:59:43,42.03 ,114.65 ,17,27,239,844,46,34,23,76
2025-01-05 14:01:47,36.55 ,119.92 ,17,27,100,847,45,35,23,73.7
2025-01-05 14:03:38,34.06 ,113.40 ,17.1,27,97,848,35,30,21,75.4
