Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-05 15:15:35,27.02 ,93.01 ,17.2,25,560,845,25,18,14,73.9
2025-01-05 15:17:21,28.06 ,87.27 ,17.2,26,729,842,21,18,14,73.6
2025-01-05 15:19:15,23.71 ,81.43 ,17.1,24,490,845,20,18,15,73.3
2025-01-05 15:21:03,25.68 ,75.44 ,17,24,560,857,17,15,12,75.3
2025-01-05 15:23:03,22.04 ,67.10 ,16.7,24,399,857,17,13,9,73.9
2025-01-05 15:24:58,17.68 ,61.28 ,16.6,24,490,853,14,13,8,74
2025-01-05 15:28:09,23.92 ,60.96 ,16.6,24,479,857,11,9,7,73.7
2025-01-05 15:38:05,42.71 ,100.23 ,16.3,26,205,830,15,14,12,75.9
2025-01-05 15:40:12,45.84 ,108.68 ,16.3,26,213,824,19,16,12,74.7
2025-01-05 15:42:16,42.06 ,114.66 ,16.3,26,196,819,14,12,11,74.2
2025-01-05 15:44:20,36.56 ,119.92 ,16.4,25,85,822,24,16,12,73.9
2025-01-05 15:46:12,34.05 ,113.40 ,16.5,25,89,838,25,25,15,74.6
