Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-03 19:05:06,24.67 ,89.66 ,17,26,75,811,14,14,10,72.7
2025-01-03 19:07:18,32.86 ,88.66 ,17,26,94,802,15,10,8,74.4
2025-01-03 19:10:08,25.46 ,77.65 ,17,26,77,821,16,16,11,72.5
2025-01-03 19:12:00,22.98 ,71.10 ,17,26,98,830,21,14,11,72.3
2025-01-03 19:13:52,22.83 ,63.62 ,16.9,26,497,826,13,11,9,73.6
2025-01-03 19:22:50,39.61 ,85.24 ,16.6,26,97,797,26,18,14,72.6
2025-01-03 19:27:06,42.71 ,100.23 ,16.6,27,124,788,16,13,10,74.8
2025-01-03 19:29:26,46.32 ,112.75 ,16.6,27,134,787,10,10,9,74.1
