Time,x,y,Temp,Humi,Light,CO2,PM10,PM2.5,PM1,noise
2025-01-03 21:02:08,24.68 ,89.64 ,17.2,26,50,843,25,22,15,73.4
2025-01-03 21:04:19,32.84 ,88.66 ,17.2,25,93,829,18,16,11,73.9
2025-01-03 21:07:14,25.46 ,77.65 ,17.1,25,78,845,24,19,17,71.3
2025-01-03 21:09:08,23.11 ,69.93 ,17.1,26,295,847,22,20,15,74
2025-01-03 21:11:00,24.68 ,62.89 ,17,26,685,839,27,22,12,73.7
2025-01-03 21:15:21,34.14 ,60.80 ,17,26,189,841,23,19,13,74.1
2025-01-03 21:21:25,39.59 ,85.23 ,16.9,26,92,820,18,14,10,72.1
2025-01-03 21:25:41,42.71 ,100.22 ,16.8,27,121,808,13,10,10,75.5
2025-01-03 21:28:08,46.33 ,112.79 ,16.9,27,129,802,32,28,19,75.2
